timestamp_start,timestamp_end,name,artist,uri,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1638869583.5082061,1638869598.7370625,Return Of The Dragons,Galaxy 2 Galaxy,spotify:track:2SdmE80ls7H2XCHQmrulIY,acid jazz,0.538,0.948,6,-10.367,0,0.0528,0.121,0.956,0.0912,0.761,130.625,4
1638869614.3268905,1638869629.486513,Am ne Tag im April,Troubas Kater,spotify:track:3LK7xYGVqtOrI152G6cnrK,mundart,0.708,0.752,9,-5.927,1,0.0463,0.00597,0,0.0855,0.944,138.026,4
1638869644.7541826,1638869659.9649644,Run And Hide,Hip-Hop Wieners,spotify:track:2hD5wQshK7Hs9aGGczfQer,winnipeg hip hop,0.62,0.604,10,-7.289,0,0.219,0.0971,9.93e-06,0.315,0.668,114.382,5
1638869675.253381,1638869690.4753637,Skovannye odnoy tsep'ju,Nautilus Pompilius,spotify:track:0No8ou0PZ3iWKp5EhWb2F8,classic russian rock,0.673,0.699,10,-10.775,0,0.201,0.599,0,0.597,0.28,118.681,4
1638869706.262401,1638869721.4984448,Underwater Paradise - Original Mix,Ingo Herrmann,spotify:track:5nvLHPgYQKcXjySI56M2Al,deep chill,0.547,0.12,0,-19.396,1,0.0331,0.982,0.745,0.114,0.321,180.038,4
1638869736.747527,1638869751.973221,Fuck Up,Sarah Shook & the Disarmers,spotify:track:1cXUmVaiwY79D1GvUf43QS,deathgrass,0.602,0.822,9,-5.34,1,0.028,0.0037,0,0.127,0.88,133.086,4
1638869767.297215,1638869782.5180278,Sabhal Ia'n Ic Uisdean,Tannas,spotify:track:5Q0thfq0gQdHWPjazTd0EZ,scottish folk,0.789,0.518,6,-7.745,1,0.0354,0.737,0.00053,0.0928,0.687,129.227,4
1638869798.087535,1638869813.2422552,This Is Techno?,Jakob Domino,spotify:track:30kT8Py4fau7oGM8VvWV97,danish techno,0.819,0.184,1,-20.47,1,0.04,0.297,0.849,0.0982,0.577,130.012,4
1638869828.4834425,1638869843.7756975,Love Is Killing Me,BONNIE X CLYDE,spotify:track:0WDHsTEgyvjw4EM24O0Tyd,electra,0.684,0.873,0,-4.94,1,0.0644,0.169,1.53e-05,0.117,0.374,125.906,4
1638869859.0761826,1638869874.2224417,A Million Miles for You,Northern Cree,spotify:track:0q5byEHxhgwzfPSj41L8ub,powwow,0.59,0.676,1,-7.819,1,0.0438,0.719,0.00291,0.612,0.174,69.887,4
1638869889.4931688,1638869904.6771502,All Day,Kevin Hart,spotify:track:2NBgfMo1xvE7D3o18zirjB,comedy rock,0.674,0.495,5,-8.593,0,0.058,0.215,0,0.134,0.216,102.636,4
1638869920.0255146,1638869935.2621968,EDM A Cappella Mashup (Good Feeling / Clarity / Outside / Levels / Runaway [U & I] / Blackout / Enjoy the Ride),BYU Vocal Point,spotify:track:21En3O6PFUqVhIGCwfLLio,a cappella,0.663,0.491,2,-6.668,0,0.0385,0.0309,2.78e-06,0.145,0.329,127.984,4
1638869950.5772705,1638869965.800568,I Check U Out,Remute,spotify:track:6Tdl3BZFAyMVy0xzEJKloY,hamburg electronic,0.906,0.508,1,-10.171,1,0.0736,0.00156,0.767,0.116,0.954,127.023,4
1638869981.1025014,1638869996.262369,Aiz upeites,Skandinieki,spotify:track:2ztGp72dWSn5VNgHkw3SGk,baltic folk,0.366,0.543,2,-9.737,0,0.034,0.795,0,0.17,0.594,175.881,4
1638870011.7644634,1638870026.9903564,Once More with Feeling,Get Cape. Wear Cape. Fly,spotify:track:4nC7KIHw5ZRGPL7cqO2MrT,essex indie,0.418,0.199,5,-13.978,1,0.0354,0.923,0.00312,0.114,0.428,121.016,4
1638870042.4479847,1638870057.6664732,Crazy Man - The Advent & Industrialyzer Remix,Frankyeffe,spotify:track:4aGIsm6YhkIqgclOEwxQZk,italian industrial,0.677,0.774,4,-7.69,0,0.036,0.00104,0.718,0.124,0.257,127.982,4
